,parkID,surveyName,0
47,48,Pinnacles,"['1: Yellowstone, 0.5522023344736696', '2: Crater Lake, 0.5356140764897757', '3: Sequoia, 0.5353749347626484', '4: Joshua Tree, 0.5263856129282034', ""5: Hawai'I Volcanoes, 0.5215225335234661"", '6: Death Valley, 0.5178449345466485', '7: Zion, 0.5146384291286457', '8: Redwood, 0.49182547126268616', '9: Yosemite, 0.4536054857332026', '10: Lassen Volcanic, 0.4458649840405522']"
48,49,Redwood,"['1: Death Valley, 0.5555938076983529', '2: Lassen Volcanic, 0.5498705728949584', '3: Yellowstone, 0.5441687724174957', ""4: Hawai'I Volcanoes, 0.5047877044399904"", '5: Pinnacles, 0.49182547126268616', '6: Crater Lake, 0.48709796416604456', '7: Joshua Tree, 0.4860099653994394', '8: Sequoia, 0.4511430095003297', '9: Yosemite, 0.4274330126543232', '10: Grand Canyon, 0.4269332931885208']"
49,50,Rocky Mountain,"['1: Badlands, 0.5678308689976432', '2: Yosemite, 0.5355061152080092', '3: Glacier, 0.5318115315130572', '4: Yellowstone, 0.5142250782227359', '5: Zion, 0.49618897203381307', '6: Bryce Canyon, 0.492551009951651', '7: Great Smoky Mountains, 0.49092343241383873', '8: Great Sand Dunes, 0.48694000659389725', '9: Grand Canyon, 0.4846158262763479', '10: Grand Teton, 0.46367285308325024']"
50,51,Saguaro,"['1: White Sands, 0.6978397051138364', '2: Bryce Canyon, 0.6924476890086468', '3: Redwood, 0.6846322927939071', '4: Everglades, 0.6838784531627188', '5: Grand Canyon, 0.6796410780796109', '6: Rocky Mountain, 0.6733950603497647', '7: Biscayne, 0.6653002743986101', '8: Pinnacles, 0.6610782428064763', '9: Crater Lake, 0.6562382740964017', '10: Joshua Tree, 0.6262511030767138']"
51,52,Sequoia,"['1: Pinnacles, 0.5353749347626484', '2: Arches, 0.5171677051081278', '3: Zion, 0.4645610897233712', '4: Bryce Canyon, 0.45576820015313424', '5: Redwood, 0.4511430095003297', '6: Joshua Tree, 0.43537771043304974', '7: Death Valley, 0.40940798665537337', '8: Grand Canyon, 0.4001796733350663', '9: Yosemite, 0.3857103768134492', '10: Kings Canyon, 0.30943248111502164']"
52,53,Shenandoah,"['1: Badlands, 0.7084518790040224', '2: Black Canyon of the Gunnison, 0.7061785631788184', '3: Rocky Mountain, 0.698515934211472', '4: Cuyahoga Valley, 0.6972502319786915', '5: Congaree, 0.68231079882127', '6: Capitol Reef, 0.6743110439376558', '7: Great Smoky Mountains, 0.6721750770108408', '8: Grand Canyon, 0.6582220329086277', '9: Great Sand Dunes, 0.651819674704466', '10: Acadia, 0.5084027702001823']"
53,54,Theodore Roosevelt,"['1: Rocky Mountain, 0.6677087745456678', '2: Mesa Verde, 0.6510665337137704', '3: Grand Teton, 0.6424434847483168', '4: Isle Royale, 0.6407615828632851', '5: Black Canyon of the Gunnison, 0.6263005129336159', '6: Glacier, 0.624114618383441', '7: Wind Cave, 0.6002848920947762', '8: Great Sand Dunes, 0.5933534387938129', '9: Badlands, 0.5742028670330181', '10: Voyageurs, 0.5329900577222706']"
54,55,Virgin Islands,"['1: Wrangell-St. Elias, 0.758242374878628', '2: White Sands, 0.7538570831241989', '3: Haleakal_, 0.7525215173186444', '4: Saguaro, 0.7480711244266024', '5: Acadia, 0.7480311679028766', '6: Grand Canyon, 0.7116734939193671', '7: Cuyahoga Valley, 0.7102118503116619', '8: Biscayne, 0.6581889823918126', '9: American Samoa, 0.6506664941562508', '10: Dry Tortugas, 0.4580622604001354']"
55,56,Voyageurs,"['1: Rocky Mountain, 0.6840928039653115', '2: Dry Tortugas, 0.6798586244558784', '3: Gates of the Arctic, 0.6716946069012504', '4: Biscayne, 0.669672702337426', '5: Isle Royale, 0.6646706586826348', '6: Black Canyon of the Gunnison, 0.6079349651632009', '7: Congaree, 0.5995609555862976', '8: Great Sand Dunes, 0.5849721357540266', '9: Wind Cave, 0.5534308462011646', '10: Theodore Roosevelt, 0.5329900577222706']"
56,57,White Sands,"['1: Saguaro, 0.6978397051138364', '2: Zion, 0.6918852248818117', '3: Channel Islands, 0.6777194823805427', '4: Petrified Forest, 0.6635878155805721', '5: Rocky Mountain, 0.6445045829717005', '6: Black Canyon of the Gunnison, 0.6319648731332312', '7: Carlsbad Caverns, 0.6232399900573569', '8: Wrangell-St. Elias, 0.5905339740340653', '9: American Samoa, 0.5900466975871532', '10: Guadalupe Mountains, 0.577504911707903']"
57,58,Wind Cave,"['1: Denali, 0.6998098464373848', '2: Guadalupe Mountains, 0.6905460278204325', '3: Indiana Dunes, 0.6826510489225454', '4: Congaree, 0.6709249354228375', '5: Kenai Fjords, 0.6696952469371173', '6: Cuyahoga Valley, 0.6409486173047688', '7: Great Sand Dunes, 0.6229550841372304', '8: Badlands, 0.6148335537476681', '9: Theodore Roosevelt, 0.6002848920947762', '10: Voyageurs, 0.5534308462011646']"
58,59,Wrangell-St. Elias,"['1: Dry Tortugas, 0.6779151136471184', '2: Denali, 0.6722017051512854', '3: Great Sand Dunes, 0.6591934564515453', '4: American Samoa, 0.6357610901945647', '5: Congaree, 0.5920814779962148', '6: White Sands, 0.5905339740340653', '7: Kenai Fjords, 0.5642722710784727', '8: Black Canyon of the Gunnison, 0.5572989670919561', '9: Guadalupe Mountains, 0.5435353106474793', '10: Gates of the Arctic, 0.453641635291847']"
59,60,Yellowstone,"['1: Crater Lake, 0.5273665899707732', '2: Joshua Tree, 0.5176291818017054', '3: Rocky Mountain, 0.5142250782227359', '4: Bryce Canyon, 0.5049914077750208', '5: Zion, 0.48780075190561545', '6: Glacier, 0.4844111619845064', '7: Death Valley, 0.4786740859257266', '8: Grand Canyon, 0.447506297860662', '9: Yosemite, 0.3573695993914364', '10: Grand Teton, 0.2104373600230307']"
60,61,Yosemite,"['1: Grand Teton, 0.4485455942529142', '2: Arches, 0.4382848007142224', '3: Redwood, 0.4274330126543232', '4: Death Valley, 0.4231128234356438', '5: Bryce Canyon, 0.4088217165101452', '6: Sequoia, 0.3857103768134492', '7: Joshua Tree, 0.37842687456064117', '8: Yellowstone, 0.3573695993914364', '9: Zion, 0.34088212277247565', '10: Grand Canyon, 0.28533220465413345']"
61,62,Zion,"['1: Kings Canyon, 0.48870305812445347', '2: Yellowstone, 0.48780075190561545', '3: Canyonlands, 0.4842672608379066', '4: Sequoia, 0.4645610897233712', '5: Joshua Tree, 0.45283298876217404', '6: Death Valley, 0.38120068172317856', '7: Yosemite, 0.34088212277247565', '8: Arches, 0.3403492713155909', '9: Grand Canyon, 0.3124723703630059', '10: Bryce Canyon, 0.18341099686239204']"
